time,vertical_lift_joint,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.208987,-0.002556,0.024070,-0.007202,-0.001822,0.009049,0.024070,-0.000032
0.828466,-0.001492,0.014472,-0.004224,-0.001062,0.005300,0.014472,-0.000019
1.820438,-0.000475,0.005486,-0.001381,-0.000336,0.001722,0.005486,-0.000006
3.132660,-0.001183,0.017409,-0.003560,-0.000830,0.004404,0.017408,-0.000018
4.707623,-0.001156,0.018811,-0.003520,-0.000809,0.004343,0.018811,-0.000019
6.491757,-0.000403,0.009579,-0.001270,-0.000279,0.001555,0.009579,-0.000009
8.365926,-0.000597,0.022797,-0.001934,-0.000410,0.002355,0.022797,-0.000018
9.908637,-0.000481,0.021809,-0.001570,-0.000329,0.001910,0.021809,-0.000017
11.113328,-0.000094,0.007407,-0.000310,-0.000064,0.000377,0.007407,-0.000005
12.020181,-0.000138,0.022887,-0.000456,-0.000092,0.000556,0.022887,-0.000015
12.653035,-0.000111,0.021127,-0.000367,-0.000074,0.000448,0.021127,-0.000014
13.025554,-0.001004,0.015405,-0.003409,-0.000696,0.004109,0.015405,-0.000010
13.243194,-0.003249,0.010663,-0.011038,-0.002255,0.013297,0.010663,-0.000007
13.549025,-0.002509,-0.004399,-0.008543,-0.001742,0.010284,-0.004399,0.000003
14.078726,-0.002520,-0.013255,-0.009116,-0.001857,0.010968,-0.013255,0.000009
14.897509,-0.002354,-0.013902,-0.009052,-0.002558,0.011606,-0.013902,0.000009
15.626420,-0.000095,-0.004424,-0.001735,-0.002241,0.003975,-0.004424,0.000003
16.563559,-0.000001,-0.018493,-0.006378,-0.008569,0.014940,-0.018493,0.000013
17.710519,0.000000,-0.034433,-0.011541,-0.013961,0.025487,-0.034433,0.000025
18.971194,0.000000,-0.023549,-0.007626,-0.008201,0.015816,-0.023549,0.000018
20.259682,0.000000,-0.031752,-0.009196,-0.007268,0.016445,-0.031752,0.000029
21.507689,0.000000,-0.059752,-0.016334,-0.011205,0.027497,-0.059752,0.000059
22.665935,0.000000,-0.074888,-0.018786,-0.010382,0.029100,-0.074888,0.000089
23.701394,0.000000,-0.051129,-0.012151,-0.005797,0.017892,-0.051129,0.000069
24.594700,0.000000,-0.019015,-0.004067,-0.001396,0.005429,-0.019015,0.000039
25.271375,0.000034,-0.104049,-0.020465,-0.004785,0.024523,-0.104049,0.000754
25.729794,0.000073,-0.102656,-0.020041,-0.004535,0.023402,-0.102656,0.001200
26.036405,0.001396,-0.174392,-0.032470,-0.007050,0.022929,-0.174388,0.016634
26.236619,0.003202,-0.387414,-0.072023,-0.015633,0.049640,-0.387405,0.038112
26.364261,0.004355,-0.522728,-0.097140,-0.021083,0.066519,-0.522715,0.051833
26.441408,0.005931,-0.711804,-0.132276,-0.028709,0.090580,-0.711786,0.070581
26.485879,0.007826,-0.939218,-0.174537,-0.037881,0.119520,-0.939195,0.093132
26.510939,0.009477,-1.137352,-0.211357,-0.045872,0.144733,-1.137324,0.112778
26.524498,0.010365,-1.244016,-0.231179,-0.050174,0.158307,-1.243986,0.123355
26.529615,0.010625,-1.275224,-0.236978,-0.051433,0.162278,-1.275193,0.126449
26.529703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
